Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Wins,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
Columbus Blue Jackets,2009-10,82,32,35,0,15,79,30,.482,214,249,2,2.61,3.04,17.5,81.7,28.5,30.7,51.0
Calgary Flames,2001-02,82,32,35,12,3,79,0,.482,201,220,0,2.45,2.68,14.8,81.5,26.9,27.3,52.5
New York Rangers,2002-03,82,32,36,10,4,78,0,.476,210,231,0,2.56,2.82,15.9,81.2,30.1,29.6,53.3
New Jersey Devils,2014-15,82,32,36,0,14,78,27,.476,176,209,5,2.15,2.55,18.9,80.6,24.5,30.7,47.3
Florida Panthers,2009-10,82,32,37,0,13,77,26,.470,202,234,6,2.46,2.85,13.9,79.4,28.4,34.1,49.9
Ottawa Senators,2010-11,82,32,40,0,10,74,30,.451,190,245,2,2.32,2.99,17.1,83.7,29.0,31.2,50.8
Edmonton Oilers,2011-12,82,32,40,0,10,74,27,.451,207,232,5,2.52,2.83,20.6,82.4,26.7,30.7,47.7
Los Angeles Kings,2007-08,82,32,43,0,7,71,27,.433,226,263,5,2.76,3.21,17.4,78.0,28.6,32.0,47.8
Edmonton Oilers,2006-07,82,32,43,0,7,71,29,.433,192,245,3,2.34,2.99,14.2,84.5,26.7,29.7,51.5
Colorado Avalanche,2008-09,82,32,45,0,5,69,23,.421,190,253,9,2.32,3.09,15.7,79.9,28.8,29.0,47.8
Phoenix Coyotes,2002-03,82,31,35,11,5,78,0,.476,204,230,0,2.49,2.80,14.3,81.3,28.0,30.0,46.6
Montréal Canadiens,2011-12,82,31,35,0,16,78,26,.476,207,214,5,2.52,2.61,14.3,88.6,28.5,29.7,48.3
Vancouver Canucks,2015-16,82,31,38,0,13,75,26,.457,186,239,5,2.27,2.91,15.8,81.1,28.2,32.5,45.4
Atlanta Thrashers,2002-03,82,31,39,7,5,74,0,.451,226,284,0,2.76,3.46,17.3,81.7,26.4,31.6,45.9
Tampa Bay Lightning,2007-08,82,31,42,0,9,71,29,.433,221,266,2,2.70,3.24,19.3,82.0,28.7,28.2,49.7
Chicago Blackhawks,2006-07,82,31,42,0,9,71,25,.433,195,251,6,2.38,3.06,11.3,82.6,26.8,29.4,47.8
Edmonton Oilers,2015-16,82,31,43,0,8,70,27,.427,199,242,4,2.43,2.95,18.1,81.1,29.1,31.1,48.8
Phoenix Coyotes,2006-07,82,31,46,0,5,67,26,.409,211,282,5,2.57,3.44,16.3,78.3,28.3,30.1,52.7
Minnesota Wild,2003-04,82,30,29,20,3,83,0,.506,188,183,0,2.29,2.23,13.3,84.5,24.2,29.1,46.7
Chicago Blackhawks,2002-03,82,30,33,13,6,79,0,.482,207,226,0,2.52,2.76,12.7,84.8,27.8,28.6,50.1
Montréal Canadiens,2002-03,82,30,35,8,9,77,0,.470,206,234,0,2.51,2.85,14.0,81.7,25.8,32.7,52.7
Toronto Maple Leafs,2009-10,82,30,38,0,14,74,26,.451,210,263,4,2.56,3.21,13.7,74.7,32.6,29.8,50.8
New York Islanders,2010-11,82,30,39,0,13,73,26,.445,225,258,4,2.74,3.15,16.9,83.2,29.4,32.0,50.1
Florida Panthers,2010-11,82,30,40,0,12,72,26,.439,191,222,4,2.33,2.71,13.1,84.6,30.4,31.8,51.9
Carolina Hurricanes,2014-15,82,30,41,0,11,71,25,.433,183,219,5,2.23,2.67,18.3,84.7,30.8,27.3,53.0
Colorado Avalanche,2010-11,82,30,44,0,8,68,24,.415,221,287,6,2.70,3.50,18.5,76.1,29.2,31.8,50.6
Toronto Maple Leafs,2014-15,82,30,44,0,8,68,25,.415,206,257,5,2.51,3.13,15.9,80.5,29.2,33.5,49.0
Anaheim Ducks,2012-13,48,30,12,0,6,66,24,.688,134,115,6,2.79,2.40,21.5,81.5,28.1,27.9,47.5
Anaheim Ducks,2003-04,82,29,35,10,8,76,0,.463,184,213,0,2.24,2.60,18.1,84.7,29.7,29.8,55.3
Calgary Flames,2002-03,82,29,36,13,4,75,0,.457,186,228,0,2.27,2.78,12.1,83.3,28.5,27.1,53.9
Boston Bruins,2005-06,82,29,37,0,16,74,27,.451,228,258,2,2.78,3.15,14.8,83.7,30.6,32.1,52.0
Chicago Blackhawks,2000-01,82,29,40,8,5,71,0,.433,210,246,0,2.56,3.00,12.9,83.9,26.3,26.7,49.9
Washington Capitals,2005-06,82,29,41,0,12,70,22,.427,230,300,7,2.80,3.66,14.9,78.9,29.8,35.1,50.4
Toronto Maple Leafs,2015-16,82,29,42,0,11,69,23,.421,192,240,6,2.34,2.93,15.4,81.6,30.7,30.5,50.6
Anaheim Ducks,2001-02,82,29,42,8,3,69,0,.421,175,198,0,2.13,2.41,11.5,86.1,26.1,27.5,51.0
