Name,Position,Birth_Date,Height,Weight
Matt Bartkowski,D,6/4/1988,6-1 ft,196
Jim Bartlett,LW,5/27/1932,5-9 ft,165
Victor Bartley,D,2/17/1988,6-0 ft,215
Cliff Barton,RW,9/3/1907,5-7 ft,155
Peter Bartos,LW,9/5/1973,6-0 ft,185
Patrik Bartosak,G,3/29/1993,6-1 ft,193
Milan Bartovic,RW,4/9/1981,5-11 ft,200
Oskars Bartulis,D,1/21/1987,6-2 ft,184
Konstantin Barulin,G,9/4/1984,,
Mathew Barzal,C,5/26/1997,6-0 ft,182
Joe Basaraba,RW,5/2/1992,,
Andrei Bashkirov,LW,6/22/1970,6-0 ft,215
Ruslan Bashkirov,LW,3/7/1989,,
Cody Bass,C,1/7/1987,6-0 ft,205
Bob Bassen,C,5/6/1965,5-10 ft,185
Hank Bassen,G,12/6/1932,5-10 ft,180
Ryan Bast,D,8/27/1975,6-2 ft,190
Nathan Bastian,RW,12/6/1997,6-3 ft,206
Baz Bastien,G,8/29/1919,5-7 ft,160
Jamie Bateman,LW,9/16/1954,6-1 ft,185
Shawn Bates,C,4/3/1975,6-0 ft,210
Frank Bathe,D,9/27/1954,6-1 ft,185
Andy Bathgate,C,2/26/1991,,
Andy Bathgate,RW,8/28/1932,6-0 ft,180
Frank Bathgate,C,2/14/1930,5-10 ft,162
Bates Battaglia,LW,12/13/1975,6-2 ft,205
Jeff Batters,D,10/23/1970,6-2 ft,215
Ruslan Batyrshin,D,2/19/1975,6-1 ft,185
Bobby Bauer,RW,2/16/1915,5-6 ft,150
Dan Baum,C,6/4/1983,,
Garry Bauman,G,7/21/1940,5-11 ft,175
Ken Baumgartner,LW,3/11/1966,6-1 ft,205
Mike Baumgartner,D,1/30/1949,6-2 ft,195
Nolan Baumgartner,D,3/23/1976,6-2 ft,195
Bob Baun,D,9/9/1936,5-9 ft,175
Kyle Baun,RW,5/4/1992,6-2 ft,209
Sergei Bautin,D,3/11/1967,6-3 ft,200
Robin Bawa,RW,3/26/1966,6-2 ft,214
Paul Baxter,D,10/28/1955,5-11 ft,200
Ryan Bayda,LW,12/9/1980,5-11 ft,185
Cody Beach,RW,8/8/1992,6-5 ft,190
Kyle Beach,C,1/13/1990,,
Sandy Beadle,LW,7/12/1960,6-2 ft,185
Jay Beagle,RW,10/16/1985,6-3 ft,215
Jake Bean,D,6/9/1998,6-0 ft,168
Ethan Bear,D,6/26/1997,5-11 ft,200
Zach Bearson,RW,6/13/1987,,
Frank Beaton,LW,4/28/1953,5-10 ft,200
Matthew Beattie,LW,12/14/1992,,
Red Beattie,LW,10/2/1907,5-9 ft,170
Francois Beauchemin,D,6/4/1980,6-1 ft,208
Rejean Beauchemin,G,5/3/1985,,
Jean-Christophe Beaudin,C,3/25/1997,6-1 ft,181
Norm Beaudin,RW,11/28/1941,5-8 ft,165
Eric Beaudoin,LW,5/3/1980,6-5 ft,210
Serge Beaudoin,D,11/30/1952,6-2 ft,215
Yves Beaudoin,D,1/7/1965,5-11 ft,180
Mark Beaufait,C,5/13/1970,5-9 ft,170
Alain Beaule,D,4/7/1946,6-0 ft,200
Josh Beaulieu,RW,1/10/1987,,
Nathan Beaulieu,D,12/5/1992,6-2 ft,205
Pierre-Olivier Beaulieu,D,2/24/1984,,
Don Beaupre,G,9/19/1961,5-10 ft,172
Gabriel Beaupre,D,11/23/1992,6-2 ft,195
Stephane Beauregard,G,1/10/1968,5-11 ft,190
Anthony Beauvillier,LW,6/8/1997,5-11 ft,170
Francis Beauvillier,C/LW,10/22/1993,,
Luke Beaverson,D,12/11/1984,,
Barry Beck,D,6/3/1957,6-3 ft,216
Taylor Beck,RW,5/13/1991,6-2 ft,203
Jack Becker,C,6/24/1997,6-3 ft,188
Bob Beckett,C,4/8/1936,6-0 ft,185
Chris Beckford-Tseu,G,6/22/1984,6-2 ft,201
James Bedard,D,11/19/1927,6-0 ft,180
Jim Bedard,G,11/14/1956,5-10 ft,181
Clayton Beddoes,C,11/10/1970,5-11 ft,190
Jaroslav Bednar,RW,11/8/1976,6-0 ft,198
Ryan Bednard,G,3/31/1997,6-3 ft,179
John Bednarski,D,7/4/1952,5-10 ft,195
Kevin Beech,G,9/23/1986,,
Kris Beech,C,2/5/1981,6-3 ft,211
Bob Beers,D,5/20/1967,6-2 ft,200
Eddy Beers,LW,10/12/1959,6-2 ft,195
Steve Begin,C,6/14/1978,6-0 ft,192
Dick Behling,D,3/16/1916,6-1 ft,195
Marc Behrend,G,1/11/1961,6-1 ft,180
Frank Beisler,D,10/18/1913,6-2 ft,190
Derek Bekar,LW,9/15/1975,6-3 ft,197
Wade Belak,RW,7/3/1976,6-5 ft,222
Alain Belanger,RW,1/18/1956,6-1 ft,190
Alexandre Belanger,G,8/19/1995,,
Eric Belanger,C,12/16/1977,5-11 ft,185
Francis Belanger,LW,1/15/1978,6-3 ft,228
Jesse Belanger,C,6/15/1969,6-1 ft,190
Ken Belanger,LW,5/14/1974,6-4 ft,225
Roger Belanger,C,12/1/1965,6-0 ft,190
Steve Belanger,G,5/20/1983,,
Yves Belanger,G,9/30/1952,5-11 ft,170
Matt Beleskey,LW,6/7/1988,6-0 ft,203
Ed Belfour,G,4/21/1965,5-11 ft,202
Michel Belhumeur,G,9/2/1949,5-10 ft,160
Danny Belisle,RW,5/9/1937,5-10 ft,164
Jean Beliveau,C,8/31/1931,6-3 ft,205
Billy Bell,C/RW,06/10/1891,5-10 ft,180
Brendan Bell,D,3/31/1983,6-2 ft,205
Bruce Bell,D,2/15/1965,6-1 ft,190
Gordie Bell,G,3/13/1925,5-10 ft,164
Huddy Bell,RW/D,10/31/1925,5-9 ft,176
Joe Bell,LW,11/27/1923,5-9 ft,165
Mark Bell,C,8/5/1980,6-3 ft,220
Myles Bell,RW,8/19/1993,,
Rob Bellamy,RW,5/30/1985,,
Neil Belland,D,4/3/1961,5-11 ft,180
Shawn Belle,D,1/3/1985,6-1 ft,235
Blake Bellefeuille,C,12/27/1977,5-10 ft,208
Pete Bellefeuille,RW,10/19/1901,5-10 ft,180
Pierre-Edouard Bellemare,LW,3/6/1985,6-0 ft,198
Thomas Bellemare,RW,1/11/1984,,
Andy Bellemer,D,7/3/1903,5-11 ft,185
Brett Bellemore,D,6/25/1988,6-4 ft,225
Greg Beller,W,1/22/1987,,
Vince Bellissimo,C,12/14/1982,,
Brian Bellows,LW,9/1/1964,5-11 ft,210
Kieffer Bellows,LW,6/10/1998,6-0 ft,197
Anton Belov,D,7/29/1986,6-4 ft,218
Louis Belpedio,D,5/14/1996,5-10 ft,193
Garrett Bembridge,RW,7/6/1981,,
Lin Bend,C,12/20/1922,5-10 ft,165
Jan Benda,C,3/28/1972,6-3 ft,215
Jordan Bendfeld,D,2/9/1988,,
Clint Benedict,G,09/26/1892,,
Rasmus Bengtsson,D,5/14/1993,,
Jamie Benn,LW,7/18/1989,6-2 ft,210
Jordie Benn,D,7/26/1987,6-2 ft,200
Adam Bennett,D,3/30/1971,6-4 ft,206
Beau Bennett,RW,11/27/1991,6-2 ft,195
Bill Bennett,LW,5/31/1953,6-5 ft,235
Brett Bennett,G,3/8/1988,,
Curt Bennett,LW,3/27/1948,6-3 ft,195
Frank Bennett,LW/D,3/4/1922,5-11 ft,182
Harvey Bennett,G,7/23/1925,6-0 ft,175
Harvey Bennett,C,8/9/1952,6-4 ft,215
John Bennett,LW,1/19/1950,6-1 ft,175
Mac Bennett,D,3/25/1991,,
Max Bennett,RW,11/4/1912,5-6 ft,157
Rick Bennett,LW,7/24/1967,6-4 ft,215
Sam Bennett,C,6/20/1996,6-1 ft,186
Spencer Bennett,LW,10/31/1990,,
Wendell Bennett,D,3/24/1950,6-2 ft,180
Brian Benning,D,6/10/1966,6-0 ft,195
Jim Benning,D,4/29/1963,6-0 ft,180
Matthew Benning,D,5/25/1994,6-0 ft,202
Andre Benoit,D,1/6/1984,5-11 ft,191
Joe Benoit,RW,2/27/1916,5-10 ft,160
Bill Benson,C,7/29/1920,5-11 ft,165
Bobby Benson,D,05/18/1894,5-6 ft,135
Tyler Benson,LW,3/15/1998,5-11 ft,197
Sean Bentivoglio,LW,10/16/1985,5-10 ft,190
Doug Bentley,LW,9/3/1916,5-8 ft,145
Max Bentley,C,3/1/1920,5-10 ft,155
Reg Bentley,LW,5/3/1914,5-8 ft,155
Ladislav Benysek,D,3/24/1975,6-2 ft,190
Jim Benzelock,RW,6/21/1947,5-10 ft,185
Paul Beraldo,RW,10/5/1967,5-11 ft,175
Josef Beranek,LW/C,10/25/1969,6-2 ft,195
Bryan Berard,D,3/5/1977,6-2 ft,220
Mikhail Berdin,G,3/1/1998,6-1 ft,163
Drake Berehowsky,D,1/3/1972,6-2 ft,225
Red Berenson,C,12/8/1939,6-0 ft,185
Bubba Berenzweig,D,8/8/1977,6-1 ft,217
Perry Berezan,C,12/5/1964,6-2 ft,190
Sergei Berezin,LW,11/5/1971,5-10 ft,200
Aki Berg,D,7/28/1977,6-3 ft,213
Bill Berg,LW,10/21/1967,6-1 ft,205
Fred Bergdinon,RW,6/22/1906,6-1 ft,170
Todd Bergen,C,7/11/1963,6-3 ft,185
