Name,Position,Birth_Date,Height,Weight
Bill Gadsby,D,8/8/1927,6-0 ft,180
Max Gaede,RW,3/27/1992,,
Link Gaetz,D,10/2/1968,6-3 ft,215
Joaquin Gage,G,10/19/1973,6-0 ft,200
Jody Gage,RW,11/29/1959,6-0 ft,190
Art Gagne,RW,10/11/1897,5-7 ft,160
Gabriel Gagne,RW,11/11/1996,6-4 ft,186
Paul Gagne,LW,2/6/1962,5-10 ft,180
Pierre Gagne,LW,6/5/1940,6-1 ft,180
Simon Gagne,LW,2/29/1980,6-1 ft,195
Dave Gagner,C,12/11/1964,5-10 ft,188
Sam Gagner,C,8/10/1989,5-11 ft,200
Aaron Gagnon,C,4/24/1986,5-10 ft,185
Dave Gagnon,G,10/31/1967,6-0 ft,185
Germain Gagnon,LW,12/9/1942,6-0 ft,175
Johnny Gagnon,RW,6/8/1905,5-5 ft,140
Sean Gagnon,D,9/11/1973,6-2 ft,219
Bob Gainey,LW,12/13/1953,6-2 ft,200
Steve Gainey,LW,1/26/1979,6-1 ft,192
Dutch Gainor,C,4/10/1904,6-1 ft,170
Milan Gajic,C,6/1/1981,,
Maxim Galanov,D,3/13/1974,6-1 ft,205
Michel Galarneau,C,3/1/1961,6-2 ft,180
Percy Galbraith,LW/D,12/05/1898,5-10 ft,162
Alex Galchenyuk,C,2/12/1994,6-1 ft,210
T.J. Galiardi,LW,4/22/1988,6-2 ft,195
Stanislav Galiev,RW,1/17/1992,6-1 ft,187
Emil Galimov,LW,5/9/1992,,
Ben Gallacher,D,9/11/1992,,
Brendan Gallagher,RW,5/6/1992,5-9 ft,182
John Gallagher,D,1/19/1909,5-11 ft,188
Brett Gallant,LW,12/28/1988,6-0 ft,185
Gerard Gallant,LW,9/2/1963,5-10 ft,190
Gord Gallant,LW,10/27/1950,5-11 ft,175
Garry Galley,D,4/16/1963,6-0 ft,202
Jamie Gallimore,RW,11/28/1957,6-0 ft,180
Don Gallinger,C,4/16/1925,6-0 ft,170
Simon Gamache,C,1/3/1981,5-10 ft,186
Yevgeny Gamalei,D,8/27/1982,,
Bruce Gamble,G,5/24/1938,5-9 ft,200
Dick Gamble,LW,11/16/1928,6-0 ft,178
Troy Gamble,G,4/7/1967,5-11 ft,195
Dylan Gambrell,C,8/26/1996,5-11 ft,179
Gary Gambucci,C,9/27/1946,5-9 ft,175
Perry Ganchar,RW,10/28/1963,5-9 ft,180
Tyler Ganly,D,3/22/1995,6-2 ft,201
Dave Gans,C,6/6/1964,5-10 ft,180
Ryan Garbutt,C,8/12/1985,6-0 ft,195
Bert Gardiner,G,3/25/1913,5-11 ft,160
Bruce Gardiner,RW,2/11/1972,6-1 ft,193
Charlie Gardiner,G,12/31/1904,,176
Herb Gardiner,D,05/08/1891,5-10 ft,190
Jake Gardiner,D,7/4/1990,6-2 ft,200
Max Gardiner,C,5/7/1992,,
Bill Gardner,C,3/18/1960,5-10 ft,180
Cal Gardner,C,10/30/1924,6-1 ft,172
Dave Gardner,C,8/23/1952,6-0 ft,185
George Gardner,G,10/8/1942,5-8 ft,165
Jimmy Gardner,LW,05/21/1881,5-9 ft,180
Paul Gardner,C,3/5/1956,6-0 ft,195
Rhett Gardner,C/LW,2/28/1996,6-2 ft,200
Danny Gare,RW,5/14/1954,5-9 ft,175
Ray Gariepy,D,9/4/1928,5-9 ft,180
Conor Garland,RW,3/11/1996,5-8 ft,163
Scott Garland,C,5/16/1952,6-1 ft,185
Ryan Garlock,C,4/24/1986,,
Jean-Claude Garneau,LW,10/19/1943,5-9 ft,165
Rob Garner,C,8/17/1958,5-11 ft,180
Tyrone Garner,G,7/27/1978,6-1 ft,200
Michael Garnett,G,11/25/1982,6-1 ft,205
Mathieu Garon,G,1/9/1978,6-1 ft,206
Johan Garpenlov,LW,3/21/1968,6-0 ft,185
John Garrett,G,6/17/1951,5-8 ft,175
Red Garrett,D,7/24/1924,5-11 ft,190
Jason Garrison,D,11/13/1984,6-1 ft,218
Mike Gartner,RW,10/29/1959,6-0 ft,187
Ron Garwasiuk,LW,2/17/1949,5-8 ft,160
Bob Gassoff,D,4/17/1953,5-10 ft,195
Brad Gassoff,LW,11/13/1955,5-11 ft,195
Marty Gateman,D,12/7/1952,6-1 ft,185
Brent Gates,C,8/12/1997,6-1 ft,196
Dave Gatherum,G,3/28/1932,5-8 ft,170
Steve Gatzos,RW,6/22/1961,5-11 ft,185
Tyler Gaudet,C,4/4/1993,6-3 ft,205
Adam Gaudette,C,10/3/1996,6-0 ft,170
Andre Gaudette,C,12/16/1947,5-7 ft,155
Frederick Gaudreau,C,5/1/1993,6-0 ft,179
Johnny Gaudreau,LW,8/13/1993,5-9 ft,157
Rob Gaudreau,RW,1/20/1970,5-11 ft,185
Armand Gaudreault,LW,7/14/1921,5-9 ft,155
Leo Gaudreault,LW/C,10/19/1905,5-10 ft,152
Mike Gaul,D,4/22/1973,6-1 ft,200
Jean-Marc Gaulin,RW,3/3/1962,5-10 ft,180
Mitch Gaulton,D,4/25/1990,,
Dallas Gaume,C,8/27/1963,5-10 ft,185
Brendan Gaunce,C,3/25/1994,6-2 ft,217
Cameron Gaunce,D,3/19/1990,6-1 ft,203
Paul Gaustad,C,2/3/1982,6-5 ft,227
Art Gauthier,C,10/10/1904,5-8 ft,158
Daniel Gauthier,LW,5/17/1970,6-1 ft,190
Denis Gauthier,D,10/1/1976,6-2 ft,220
Fern Gauthier,RW,8/31/1919,5-11 ft,175
Frederik Gauthier,C,4/26/1995,6-5 ft,214
Gabe Gauthier,LW,1/20/1984,5-9 ft,205
Jean Gauthier,D,4/29/1937,6-1 ft,190
Julien Gauthier,RW,10/15/1997,6-3 ft,231
Luc Gauthier,D,4/19/1964,5-9 ft,195
Mike Gauthier,D,3/26/1987,,
Paul Gauthier,G,3/6/1915,5-5 ft,125
Sean Gauthier,G,3/28/1971,5-11 ft,200
Jerome Gauthier-Leduc,D,7/30/1992,6-2 ft,196
Jocelyn Gauvreau,D,3/4/1964,5-11 ft,180
Aaron Gavey,C,2/22/1974,6-2 ft,189
Stew Gavin,LW,3/15/1960,6-0 ft,190
Vladislav Gavrikov,D,11/21/1995,6-2 ft,205
Artur Gavrus,C/LW,1/3/1994,,
Glenn Gawdin,C,3/25/1997,6-0 ft,191
Travis Gawryletz,D,11/2/1985,,
Sergei Gayduchenko,G,6/6/1989,,
Luke Gazdic,LW,7/25/1989,6-4 ft,225
Bob Geale,C,4/17/1962,5-11 ft,175
Curtis Gedig,D,9/14/1991,6-3 ft,201
George Gee,C,6/28/1922,5-11 ft,180
Mason Geertsen,D,4/19/1995,6-3 ft,199
Gary Geldart,D,6/14/1950,5-8 ft,160
Randall Gelech,C,2/2/1984,,
Eric Gelinas,D,5/8/1991,6-4 ft,215
Guillaume Gelinas,D,6/14/1993,5-10 ft,185
Martin Gelinas,LW,6/5/1970,5-11 ft,202
Jack Gelineau,G,11/11/1924,6-0 ft,180
Sam Gellard,LW,3/15/1950,6-0 ft,185
Jean-Guy Gendron,LW,8/30/1934,5-9 ft,165
Martin Gendron,RW,2/15/1974,5-9 ft,190
Miles Gendron,D,6/28/1996,6-1 ft,181
Dan Gendur,RW,5/21/1987,,
Matt Generous,D,5/4/1985,,
Matteo Gennaro,C,3/30/1997,6-2 ft,187
Jeff Genovy,LW,12/4/1982,,
Chay Genoway,D,12/20/1986,5-9 ft,177
Matt Gens,D,3/31/1983,,
Bernie Geoffrion,RW,2/16/1931,5-9 ft,166
Blake Geoffrion,C,2/3/1988,6-1 ft,192
Danny Geoffrion,RW,1/24/1958,5-10 ft,185
Wes George,LW,9/26/1958,6-2 ft,220
Gerry Geran,C,08/03/1896,5-9 ft,180
Eddie Gerard,LW/D,02/22/1890,5-9 ft,168
Nathan Gerbe,C,7/24/1987,5-5 ft,178
Martin Gerber,G,9/3/1974,6-0 ft,205
Michael Gergen,LW,2/17/1987,,
Eric Germain,D,6/26/1966,6-1 ft,195
Carsen Germyn,RW,2/22/1982,5-11 ft,190
Ken Gernander,RW,6/30/1969,5-10 ft,175
Martin Gernat,D,4/11/1993,6-5 ft,187
Shane Gersich,C/LW,7/10/1996,5-11 ft,175
Bruno Gervais,D,10/3/1984,6-1 ft,200
Ray Getliffe,C/LW,4/3/1914,5-11 ft,175
Timothy Gettinger,LW,4/14/1998,6-5 ft,202
Ryan Getzlaf,C,5/10/1985,6-4 ft,221
Rob Gherson,G,10/8/1983,,
Ed Giacomin,G,6/6/1939,5-11 ft,180
Mario Giallonardo,D,9/23/1957,5-11 ft,201
Brian Gibbons,D,7/7/1947,6-3 ft,190
Brian Gibbons,C,2/26/1988,5-8 ft,165
Gerrard Gibbons,D,1/7/1953,6-3 ft,185
Ryan Gibbons,RW,1/1/1985,,
Barry Gibbs,D,9/28/1948,5-11 ft,195
Christopher Gibson,G,12/27/1992,6-1 ft,188
Don Gibson,D,12/29/1967,6-1 ft,210
Doug Gibson,C,9/28/1953,5-10 ft,175
Jack Gibson,P,,6-0 ft,185
Jack Gibson,LW,8/18/1948,6-0 ft,185
John Gibson,D,6/2/1959,6-3 ft,210
John Gibson,G,7/14/1993,6-3 ft,226
Gus Giesebrecht,C,9/14/1917,6-0 ft,177
Lee Giffin,RW,4/1/1967,6-0 ft,188
Brian Gifford,C,11/12/1985,,
Brandon Gignac,C,11/7/1997,5-10 ft,170
Jean-Sebastien Giguere,G,5/16/1977,6-1 ft,202
David Gilbert,C,2/9/1991,,
Dennis Gilbert,D,10/30/1996,6-2 ft,201
Ed Gilbert,C,3/12/1952,6-0 ft,185
Gilles Gilbert,G,3/31/1949,6-1 ft,175
Greg Gilbert,LW,1/22/1962,6-1 ft,191
Jeannot Gilbert,C,12/29/1940,5-10 ft,170
Rod Gilbert,RW,7/1/1941,5-9 ft,180
Tom Gilbert,D,1/10/1983,6-2 ft,210
Stan Gilbertson,LW,10/29/1944,6-0 ft,175
Brent Gilchrist,LW,4/3/1967,5-11 ft,180
Curt Giles,D,11/30/1958,5-8 ft,175
Randy Gilhen,C,6/13/1963,6-0 ft,190
Andre Gill,G,9/19/1941,5-7 ft,145
Hal Gill,D,4/6/1975,6-7 ft,243
Todd Gill,D,11/9/1965,6-0 ft,180
Don Gillen,RW,12/24/1960,6-3 ft,210
Farrand Gillie,LW/D,5/11/1905,5-10 ft,150
Clark Gillies,LW,4/7/1954,6-3 ft,215
Colton Gillies,LW,2/12/1989,6-4 ft,208
Jon Gillies,G,1/22/1994,,
Trevor Gillies,LW,1/30/1979,6-3 ft,231
Bill Gilligan,C,8/5/1954,5-11 ft,175
Jere Gillis,LW,1/18/1957,6-0 ft,194
Mike Gillis,LW,12/1/1958,6-1 ft,195
Paul Gillis,C,12/31/1963,5-11 ft,198
Russ Gillow,G,9/2/1940,5-10 ft,165
Tom Gilmore,LW,5/14/1948,5-11 ft,190
Adam Gilmour,C,1/29/1994,,
Billy Gilmour,RW,03/21/1885,,
Dave Gilmour,LW,11/14/1950,5-9 ft,165
Doug Gilmour,C,6/25/1963,5-11 ft,177
John Gilmour,D,5/17/1993,,
Matt Gilroy,D,7/30/1984,6-1 ft,199
Jrek Gimaev,C,,,
Sergei Gimaev,,,,
Sergei Gimayev,D,2/16/1984,,
Gaston Gingras,D,2/13/1959,6-1 ft,200
Brian Gionta,RW,1/18/1979,5-7 ft,178
Stephen Gionta,C,10/9/1983,5-7 ft,175
Mark Giordano,D,10/3/1983,6-0 ft,198
Bob Girard,LW,4/12/1949,6-0 ft,180
Felix Girard,C,5/9/1994,5-10 ft,185
Jonathan Girard,D,5/27/1980,5-11 ft,201
Kenny Girard,RW,12/8/1936,6-0 ft,184
Samuel Girard,D,5/12/1998,5-9 ft,160
Dan Girardi,D,4/29/1984,6-1 ft,212
Zemgus Girgensons,C,1/5/1994,6-2 ft,200
Alexandre Giroux,C/LW,6/16/1981,6-3 ft,203
Art Giroux,RW,6/6/1908,5-10 ft,165
Claude Giroux,C/RW,1/12/1988,5-11 ft,185
Larry Giroux,D,8/28/1951,6-0 ft,190
Pierre Giroux,C,11/17/1955,5-11 ft,185
Ray Giroux,D,7/20/1976,6-1 ft,190
Rejean Giroux,RW,9/13/1952,5-11 ft,160
Joel Gistedt,G,12/7/1987,,
Jeff Giuliano,LW,6/20/1979,5-9 ft,205
Dave Given,RW,5/14/1954,6-1 ft,185
Bob Gladney,D,8/27/1957,5-11 ft,185
Evgeny Gladskikh,RW,4/24/1982,,
Jean-Paul Gladu,LW,6/20/1921,5-11 ft,180
Andrew Glass,LW,7/14/1989,,
Jeff Glass,G,11/19/1985,6-3 ft,203
Tanner Glass,LW,11/29/1983,6-1 ft,213
Matthew Glasser,LW,1/11/1987,,
Konstantin Glazachev,LW,2/18/1985,,
Joe Gleason,D,3/30/1990,,
Tim Gleason,D,1/29/1983,6-0 ft,217
Jon Gleed,D,1/3/1984,,
Curtis Glencross,C,12/28/1982,6-1 ft,197
Luke Glendening,C,4/28/1989,5-11 ft,199
Brian Glennie,D,8/29/1946,6-1 ft,197
Scott Glennie,RW,2/22/1991,6-1 ft,204
Matt Glennon,LW,9/20/1968,6-0 ft,185
Brian Glenwright,LW,10/8/1949,6-3 ft,200
Alan Globensky,D,4/17/1951,6-1 ft,190
Rob Globke,C,10/24/1982,6-2 ft,208
Lorry Gloeckner,D,1/25/1956,6-2 ft,210
Dan Gloor,C,12/4/1952,5-9 ft,170
Vasily Glotov,C,9/4/1997,5-11 ft,158
Dan Glover,D,5/4/1983,,
Fred Glover,C,1/5/1928,5-9 ft,170
Howie Glover,RW,2/14/1935,5-11 ft,180
Jack Glover,D,5/17/1996,6-3 ft,190
Alexei Glukhov,RW,4/5/1984,,
Mike Glumac,RW,4/5/1980,6-2 ft,209
Brian Glynn,D,11/23/1967,6-4 ft,218
Marcel Goc,C,8/24/1983,6-1 ft,197
Sascha Goc,D,4/14/1979,6-6 ft,220
Eric Godard,RW,3/7/1980,6-4 ft,214
Ernie Godden,C,3/13/1961,5-8 ft,160
Josh Godfrey,D,1/15/1988,,
Warren Godfrey,D,3/23/1931,6-1 ft,190
Eddy Godin,RW,3/29/1957,5-10 ft,190
Sam Godin,RW,9/20/1909,5-10 ft,156
Alexander Godynyuk,D,1/27/1970,6-0 ft,207
Pete Goegan,D,3/6/1934,6-1 ft,195
Robert Goepfert,G,5/9/1983,,
Dave Goertz,D,3/28/1965,5-11 ft,210
Steven Goertzen,RW,5/26/1984,6-2 ft,216
Mark Goggin,C,7/29/1990,,
Philip Gogulla,RW,7/31/1987,,
Moose Goheen,LW,02/08/1894,6-0 ft,220
Bob Goldham,D,5/12/1922,6-2 ft,195
Erich Goldmann,D,4/7/1976,6-3 ft,212
Nikolay Goldobin,LW,10/7/1995,5-11 ft,180
Bill Goldsworthy,RW,8/24/1944,6-0 ft,190
Leroy Goldsworthy,RW,10/18/1906,6-0 ft,165
Bill Goldthorpe,LW,6/20/1953,5-11 ft,185
Glenn Goldup,RW,4/26/1953,6-0 ft,190
Hank Goldup,LW,10/29/1918,5-11 ft,175
Frank Golembrosky,RW,5/3/1945,6-0 ft,190
Alex Goligoski,D,7/30/1985,5-11 ft,185
Cody Goloubef,D,11/30/1989,6-1 ft,200
Alexander Golovin,LW,3/26/1983,,
Yan Golubovsky,D,3/9/1976,6-3 ft,183
Anatoli Golyshev,LW,2/14/1995,5-8 ft,178
Scott Gomez,C,12/23/1979,5-11 ft,200
Sergei Gonchar,D,4/13/1974,6-2 ft,210
Maxim Goncharov,D,6/15/1989,,
Daniel Goneau,LW,1/16/1976,6-0 ft,195
Bill Gooden,LW,9/8/1923,5-9 ft,175
Larry Goodenough,D,1/19/1953,6-0 ft,195
Ebbie Goodfellow,C/D,4/9/1907,6-0 ft,175
Paul Goodman,G,2/25/1905,5-10 ft,165
Barclay Goodrow,RW,2/26/1993,6-2 ft,215
Max Gordichuk,D,1/29/1986,,
Viktor Gordiouk,LW,4/11/1970,5-10 ft,176
Andrew Gordon,RW,12/13/1985,6-0 ft,194
Boyd Gordon,C,10/19/1983,6-0 ft,200
Coda Gordon,LW,8/4/1994,,
Don Gordon,RW,4/17/1948,5-11 ft,180
Fred Gordon,RW,5/6/1900,5-10 ft,185
Jack Gordon,C,3/3/1928,5-9 ft,154
Robb Gordon,C,1/13/1976,5-11 ft,190
Scott Gordon,G,2/6/1963,5-10 ft,175
Lee Goren,RW,12/26/1977,6-3 ft,205
Tom Gorence,RW,3/11/1957,6-0 ft,190
Josh Gorges,D,8/14/1984,6-1 ft,204
Butch Goring,C,10/22/1949,5-9 ft,170
Dave Gorman,RW,4/8/1955,5-11 ft,185
Ed Gorman,D,09/25/1892,6-0 ft,180
Brandon Gormley,D,2/18/1992,6-2 ft,196
Max Gortz,RW,1/28/1993,,
Benoit Gosselin,LW,7/19/1957,5-11 ft,190
David Gosselin,RW,6/22/1977,6-1 ft,205
Guy Gosselin,D,1/6/1964,5-10 ft,185
Mario Gosselin,G,6/15/1963,5-8 ft,160
Rich Gosselin,C,4/25/1956,5-7 ft,150
Shayne Gostisbehere,D,4/20/1993,5-11 ft,180
Steve Gotaas,C,5/10/1967,5-10 ft,180
Zane Gothberg,G,8/20/1992,,
Kirill Gotovets,D,6/25/1991,,
Johnny Gottselig,LW,6/24/1905,5-11 ft,158
Tyrell Goulbourne,LW,1/26/1994,5-10 ft,191
Bobby Gould,RW,9/2/1957,6-0 ft,195
John Gould,RW,4/11/1949,5-11 ft,197
Larry Gould,LW,8/16/1952,5-9 ft,170
Alain Goulet,D,9/22/1988,,
Michel Goulet,LW,4/21/1960,6-1 ft,195
Stephane Goulet,RW,1/7/1986,,
Red Goupille,D,9/2/1915,6-0 ft,190
Yanni Gourde,C,12/15/1991,5-8 ft,151
David Gove,C/RW,5/4/1978,5-9 ft,190
Chris Govedaris,LW,2/2/1970,6-0 ft,200
David Goverde,G,4/9/1970,6-0 ft,210
Gerry Goyer,C,10/20/1936,6-2 ft,196
Phil Goyette,C,10/31/1933,5-11 ft,170
Michael Grabner,RW,10/5/1987,6-1 ft,185
Tony Graboski,LW/D,5/9/1916,5-10 ft,178
Mikhail Grabovski,C,1/31/1984,5-11 ft,186
Evgeny Grachev,C,2/21/1990,6-4 ft,225
Bob Gracie,C/LW,11/8/1910,5-9 ft,155
Juraj Gracik,RW,8/14/1986,,
Thomas Gradin,C,2/18/1956,5-11 ft,176
Marc-Andre Gragnani,D,3/11/1987,6-2 ft,201
Bruce Graham,C,12/2/1985,,
Dirk Graham,W,7/29/1959,5-11 ft,198
Jesse Graham,D,5/13/1994,6-0 ft,176
Leth Graham,LW,10/10/1894,5-9 ft,150
Pat Graham,LW,5/25/1961,6-1 ft,190
Rod Graham,LW,8/19/1946,6-0 ft,185
Ted Graham,D,1/30/1906,5-8 ft,170
John Grahame,G,8/31/1975,6-3 ft,220
Ron Grahame,G,6/7/1950,5-11 ft,175
Elias Granath,D,9/6/1985,,
Tony Granato,RW,7/25/1964,5-10 ft,185
Petter Granberg,D,8/27/1992,6-3 ft,200
Jean-Luc Grand-Pierre,D,2/2/1977,6-3 ft,225
Markus Granlund,C,4/16/1993,6-0 ft,183
Mikael Granlund,C,2/26/1992,5-10 ft,184
Alex Grant,D,1/20/1989,6-2 ft,185
Benny Grant,G,7/14/1908,5-11 ft,160
Danny Grant,RW,2/21/1946,5-10 ft,188
Derek Grant,C,4/20/1990,6-3 ft,212
Doug Grant,G,7/27/1948,6-1 ft,200
Mike Grant,P,11/27/1873,,
Triston Grant,LW,2/2/1984,6-1 ft,212
Ryley Grantham,C,1/7/1988,,
Tyler Graovac,C,4/27/1993,6-5 ft,212
Gustav Grasberg,C,4/6/1983,,
Maxim Gratchev,LW,9/26/1988,,
Benoit Gratton,C,12/28/1976,5-11 ft,194
Bill Gratton,LW,2/29/1948,6-3 ft,200
Chris Gratton,C,7/5/1975,6-4 ft,226
Dan Gratton,C,12/7/1966,6-0 ft,185
Gilles Gratton,G,7/28/1952,5-11 ft,160
Jean-Guy Gratton,RW,3/8/1947,5-9 ft,169
Josh Gratton,LW,9/9/1982,6-2 ft,215
Norm Gratton,LW,12/22/1950,5-11 ft,165
John Gravel,D,10/27/1941,5-8 ft,170
Kevin Gravel,D,3/6/1992,6-4 ft,212
Mathieu Gravel,LW,10/19/1984,,
Leo Gravelle,RW,6/10/1925,5-9 ft,160
Adam Graves,LW,4/12/1968,6-0 ft,205
Hilliard Graves,RW,10/18/1950,5-11 ft,175
Ryan Graves,D,5/21/1995,,
Steve Graves,LW,4/7/1964,5-10 ft,175
Alex Gray,RW,06/21/1899,5-10 ft,170
Gerry Gray,G,1/28/1948,6-0 ft,165
Harrison Gray,G,9/5/1941,5-11 ft,165
John Gray,RW,8/13/1949,5-10 ft,180
Terry Gray,RW,3/21/1938,6-0 ft,175
Denis Grebeshkov,D,10/11/1983,6-0 ft,209
Brady Greco,D,3/4/1983,,
Josh Green,LW,11/16/1977,6-4 ft,225
Luke Green,D,1/12/1998,6-0 ft,186
Mike Green,C,8/23/1979,5-11 ft,192
Mike Green,D,10/12/1985,6-1 ft,207
Red Green,LW,12/12/1899,5-8 ft,148
Rick Green,D,2/20/1956,6-3 ft,220
Shorty Green,RW,07/17/1896,5-10 ft,152
Ted Green,D,3/23/1940,5-10 ft,200
Travis Green,C,12/20/1970,6-1 ft,204
Andy Greene,D,10/30/1982,5-11 ft,190
Matt Greene,D,5/13/1983,6-3 ft,236
Colin Greening,C/LW,3/9/1986,6-2 ft,212
Jeff Greenlaw,LW,2/28/1968,6-1 ft,230
Mike Greenlay,G,9/15/1968,6-3 ft,200
Richard Greenop,C,2/24/1989,,
Kyle Greentree,LW,11/15/1983,6-3 ft,215
James Greenway,D,4/27/1998,6-5 ft,204
Jordan Greenway,LW,2/16/1997,6-4 ft,222
A.J. Greer,LW,12/14/1996,6-3 ft,204
Matt Greer,LW,11/21/1985,,
Randy Gregg,D,2/19/1956,6-4 ft,215
Jason Gregoire,LW,2/24/1989,,
Jeremy Gregoire,C,9/5/1995,,
Noah Gregor,C,7/28/1998,5-11 ft,175
Bruce Greig,LW,5/9/1953,6-2 ft,220
Mark Greig,RW,1/25/1970,5-11 ft,190
Thomas Greiss,G,1/29/1986,6-1 ft,228
Alexandre Grenier,RW,9/5/1991,6-5 ft,200
Lucien Grenier,RW,11/3/1946,5-10 ft,163
Martin Grenier,D,11/2/1980,6-5 ft,245
Richard Grenier,C,9/18/1952,5-11 ft,170
Michael Grenzy,D,2/6/1984,,
Ron Greschner,D,12/22/1954,6-2 ft,205
Gary Gresdal,LW,1/15/1947,6-0 ft,195
Brent Gretzky,C,2/20/1972,5-10 ft,160
Wayne Gretzky,C,1/26/1961,6-0 ft,185
Mike Grier,RW,1/5/1975,6-1 ft,224
Don Grierson,RW,6/18/1947,5-10 ft,185
Brent Grieve,LW,5/9/1969,6-1 ft,202
Si Griffis,P,09/22/1883,6-1 ft,195
Seth Griffith,C,1/4/1993,5-9 ft,191
Chris Grigg,G,2/2/1953,6-1 ft,175
George Grigor,C,9/3/1916,5-7 ft,150
Igor Grigorenko,RW,4/9/1983,,
Mikhail Grigorenko,C,5/16/1994,6-3 ft,209
Rocco Grimaldi,C,2/8/1993,5-6 ft,180
Stu Grimson,LW,5/20/1965,6-4 ft,240
John Grisdale,D,8/23/1948,6-0 ft,195
Francois Groleau,D,1/23/1973,6-0 ft,197
Stanislav Gron,RW,10/28/1978,6-2 ft,205
Tuomas Gronman,D,3/22/1974,6-3 ft,219
Lloyd Gronsdahl,RW,5/10/1921,5-9 ft,170
Jari Gronstrand,D,11/14/1962,6-3 ft,195
Ryan Gropp,LW,9/16/1996,6-2 ft,187
Michal Grosek,LW,6/1/1975,6-2 ft,207
Troy Grosenick,G,8/27/1989,6-1 ft,185
Lloyd Gross,LW,9/5/1905,5-9 ft,175
Nicklas Grossmann,D,1/22/1985,6-4 ft,230
Don Grosso,LW/C,4/12/1915,5-11 ft,170
Len Grosvenor,C/RW,7/21/1905,5-9 ft,172
Denis Grot,D,1/6/1984,,
Samuel Groulx,D,6/28/1990,,
Wayne Groulx,C,2/2/1965,6-1 ft,185
Philipp Grubauer,G,11/25/1991,6-1 ft,182
John Gruden,D,6/4/1970,6-0 ft,203
Danny Gruen,LW,6/26/1952,5-11 ft,190
Scott Gruhl,LW,9/13/1959,5-11 ft,185
Dov Grumet-Morris,G,2/28/1982,,
Carl Grundstrom,RW,12/1/1997,5-11 ft,195
Eric Gryba,D,4/14/1988,6-4 ft,228
Bob Gryp,LW,5/6/1950,6-1 ft,190
Matthew Grzelcyk,D,1/5/1994,,
Francois Guay,C,6/8/1968,6-0 ft,190
Paul Guay,RW,9/2/1963,5-11 ft,185
Radko Gudas,D,6/5/1990,6-0 ft,204
Erik Gudbranson,D,1/7/1992,6-5 ft,220
Kristers Gudlevskis,G,7/31/1992,6-4 ft,203
Francois-Pierre Guenette,C,1/18/1984,,
Steve Guenette,G,11/13/1965,5-10 ft,175
Nate Guenin,D,12/10/1982,6-3 ft,207
Jake Guentzel,C,10/6/1994,5-11 ft,180
Daniel Guerard,RW,4/9/1974,6-4 ft,215
Stephane Guerard,D,4/12/1968,6-2 ft,198
Bill Guerin,RW,11/9/1970,6-2 ft,220
Marty Guerin,RW,5/25/1983,,
Jocelyn Guevremont,D,3/1/1951,6-2 ft,200
Peter Guggisberg,RW,1/20/1985,,
Brendan Guhle,D,7/29/1997,6-1 ft,186
Aldo Guidolin,RW/D,6/6/1932,6-0 ft,180
Bep Guidolin,LW,12/9/1925,5-8 ft,175
Bobby Guindon,LW,11/19/1950,5-9 ft,175
Ben Guite,RW,7/17/1978,6-1 ft,210
Pierre Guite,LW,4/17/1952,6-2 ft,190
Bud Gulka,RW,4/12/1947,5-11 ft,190
Vladimir Gulobovich,RW,,,
Carl Gunnarsson,D,11/9/1986,6-2 ft,197
Daniel Gunnarsson,D,4/15/1992,,
Steve Guolla,C,3/15/1973,6-0 ft,190
Alexander Guptill,LW,3/5/1992,6-3 ft,175
Miloslav Guren,D,9/24/1976,6-2 ft,215
Denis Gurianov,RW,6/7/1997,6-3 ft,192
Alexei Gusarov,D,7/8/1964,6-3 ft,185
Nikita Gusev,LW,7/8/1992,,
Sergey Gusev,D,7/31/1975,6-1 ft,205
Vladimir Gusev,D,11/24/1982,,
Alexander Guskov,D,11/26/1976,,
Ravil Gusmanov,LW,7/25/1972,6-3 ft,185
Derek Gustafson,G,6/21/1979,5-11 ft,210
Anton Gustafsson,C,2/25/1990,,
Bengt-Ake Gustafsson,RW,3/23/1958,6-0 ft,185
Erik Gustafsson,D,12/15/1988,5-10 ft,180
Erik Gustafsson,D,3/14/1992,6-0 ft,176
Johan Gustafsson,G,2/28/1992,5-6 ft,143
Per Gustafsson,D,6/6/1970,6-2 ft,190
Filip Gustavsson,G,6/7/1998,6-1 ft,190
Jonas Gustavsson,G,10/24/1984,6-4 ft,201
Peter Gustavsson,LW,3/30/1958,6-1 ft,188
Shea Guthrie,W,7/30/1987,,
Moises Gutierrez,RW,7/20/1986,,
Kevan Guy,D,7/16/1965,6-3 ft,202
Gino Guyer,C,10/14/1983,,
Brent Gwidt,C,2/20/1988,,
Kari Haakana,D,11/8/1973,6-1 ft,222
Ari Haanpaa,LW,11/29/1965,6-0 ft,185
Garrett Haar,D,8/16/1993,,
David Haas,LW,6/23/1968,6-2 ft,200
Derek Haas,C,5/1/1955,6-0 ft,170
Marc Habscheid,RW/C,3/1/1963,6-0 ft,185
Len Hachborn,C,9/4/1961,5-10 ft,175
Justin Hache,D,1/10/1994,6-2 ft,180
Jeff Hackett,G,6/1/1968,6-1 ft,198
Matt Hackett,G,3/7/1990,6-2 ft,171
Lloyd Haddon,D,8/10/1938,6-0 ft,195
Vic Hadfield,LW,10/4/1940,6-0 ft,190
Peter Hafner,D,7/26/1983,,
